Age,Count
1,10
2,0
3,2
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,2
12,6
13,7
14,13
15,49
16,93
17,141
18,213
19,355
20,430
21,535
22,804
23,1295
24,1515
25,1860
26,1931
27,2047
28,2082
29,2361
30,2152
31,2170
32,2015
33,2000
34,2013
35,1845
36,1668
37,1640
38,1580
39,1665
40,1677
41,1603
42,1532
43,1515
44,1478
45,1350
46,1280
47,1138
48,1136
49,1058
50,1006
51,867
52,780
53,694
54,614
55,577
56,501
57,449
58,390
59,379
60,302
61,261
62,194
63,166
64,156
65,127
66,129
67,106
68,94
69,57
70,53
71,35
72,25
73,25
74,23
75,22
76,21
77,10
78,14
79,5
80,8
81,6
82,2
83,1
84,4
85,2
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,2
,0
,0
